unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
NJJtc;5,Major,Sedimentary,Clastic,Mixed-clastic,Conglomerate-sandstone,,Conglomerate-sandstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt 
NJJtc;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt. 
NJJtc;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt. 
NJJTRp;2,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,predominantly red beds consisting of argillaceous siltstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,silty mudstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,very fine grained sandstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,. 
NJJTRpcl;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"medium-bedded to massive, pebble to boulder conglomerate. Clasts are subangular dolomitic limestone "
NJJTRpcl;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,matrix of brownish- to purplish-red sandstone to mudstone 
NJJTRpcl;5,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed,matrix of brownish- to purplish-red sandstone to mudstone 
NJTkb;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,silty clay 
NJJTRpcq;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Quartzite conglomerate unit (JTrpcq) is reddish-brown pebble conglomerate, pebbly sandstone, and sandstone, in upward-fining sequences 1 to 2 m (3-6 ft) thick. Clasts are subangular to subrounded, quartz and quartzite in sandstone matrix.  "
NJJTRpcq;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Quartzite conglomerate unit (JTrpcq) is reddish-brown pebbly sandstone, and sandstone in a sandstone matrix. Sandstone is medium to coarse grained, feldspathic (up to 20 percent feldspar), and locally contains pebble and cobble layers.  "
NJKmg;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"black to dark-gray, very carbonaceous clay is locally interstratified with the sand "
NJJTRpms;5,Major,Sedimentary,Clastic,Mixed-clastic,Sandstone-mudstone,,Sandstone-mudstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Major,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRps;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Calcareous,"interbedded grayish-red to brownish-red, medium- to fine-grained, medium- to thick-bedded sandstone; unit is planar to ripple cross-laminated, fissile, locally calcareous, containing desiccation cracks and root casts. Upward-fining cycles are 1.8 to 4.6 m (6-15 ft) thick. Sandstone beds are coarser and thicker near conglomerate units (JTrpcq, JTrpcl).  "
NJJTRps;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"brownish-to-purplish-red coarse-grained siltstone; unit is planar to ripple cross-laminated, fissile, locally calcareous, containing desiccation cracks and root casts. Upward-fining cycles are 1.8 to 4.6 m (6-15 ft) thick. "
NJJTRpsc;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"medium- to coarse-grained, feldspathic sandstone; unit is planar to low-angle trough cross laminated, burrowed, and contains local pebble layers. "
NJJTRpsc;5,Major,Sedimentary,Clastic,Mixed-clastic,Conglomerate-sandstone,,Conglomerate-sandstone,Bed,"brownish-red pebble conglomerate, medium- to coarse-grained, feldspathic sandstone; unit is planar to low-angle trough cross laminated, burrowed, and contains local pebble layers. Conglomeratic sandstone thickness exceeds 800 m (2,625 ft). "
NJJTRpsc;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"micaceous siltstone; unit is planar to low-angle trough cross laminated, burrowed, and contains local pebble layers. "
NJKcq;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"basal sand, quartz and glauconite, fine-grained, clayey, thin-bedded, dark-greenish-gray; middle part, quartz sand, very fine grained, thick-bedded, dark-gray, micaceous, and clayey silt with scattered and varying amounts of glauconite sand; upper part, quartz sand, fine-grained, clayey, thin-bedded. Sand, excluding glauconite sand beds, is primarily quartz with small amounts of feldspar and mica. "
NJKcq;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"basal sand, quartz and glauconite, fine-grained, clayey, thin-bedded, dark-greenish-gray; middle part, quartz sand, very fine grained, thick-bedded, dark-gray, micaceous, and clayey silt with scattered and varying amounts of glauconite sand; upper part, quartz sand, fine-grained, clayey, thin-bedded "
NJKcq;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,"middle part, quartz sand, very fine grained, thick-bedded, dark-gray, micaceous, and clayey silt with scattered and varying amounts of glauconite sand "
NJKcq;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"Clay and clay-silt, micaceous, thin-bedded to laminated, dark-gray; weathers light tan. Contains abundant wood fragments; extensively bioturbated, dark-gray, very micaceous, somewhat woody clay-silt. The basal clay-silt has extensive cylindrical burrows filled with fine-grained, light- to medium-green botryoidal glauconite.  "
NJKcq;1,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,"Clay and clay-silt, micaceous, thin-bedded to laminated, dark-gray; weathers light tan. Contains abundant wood fragments; extensively bioturbated, dark-gray, very micaceous, somewhat woody clay-silt. The basal clay-silt has extensive cylindrical burrows filled with fine-grained, light- to medium-green botryoidal glauconite.  "
NJKp;1,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Bed,locally gravelly 
NJKcq;1,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"fine-grained micaceous quartz sand and is rarely crossbedded. Rock fragments and feldspar are minor sand constituents. Small cylindrical burrows occur in the updip area. Abundant, rounded, pale-gray siderite concretions (about 8 cm (3 in) in diameter) occur in thin discontinuous beds. Sand interfingers rapidly within a short distance  "
NJKp;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Predominantly clay to clay-silt, thinly laminated to thick-bedded, mottled red, white, and orange-brown, less commonly dark-gray and woody; interbedded with thin beds and lenses of very fine to medium-grained, massive, white to orange-brown, micaceous sand; locally, the sand has very small amounts of glauconite which may indicate some local marine influence during sedimentation "
NJKet;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz, fine- to coarsegrained, gravelly, massive, bioturbated, medium- to dark-gray; weathers light brown, yellow, or reddish brown, locally interbedded with thin to thick beds of dark clay. Feldspar, glauconite, and muscovite are minor sand constituents. Sand is extensively trough crossbedded particularly west of Mount Holly, Burlington County. Lowest part of unit is a massive sand that contains small to large, soft, light-gray siderite concretions.  "
NJKet;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"locally interbedded with thin to thick beds of dark clay. Abundant carbonaceous matter, with large lignitized logs occur locally, especially in clay strata.  "
NJKr;1,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,"Woodbridge Clay Member - Silt, clayey, dark-gray; weathers to red brown or white, locally interbedded with light-gray, clayey, fine- to very fine grained sand. Very micaceous (muscovite, chlorite, and biotite) in both silty and sandy beds. Farrington Sand Member - interbedded with thin to thick, dark, silt beds "
NJKmg;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, fine- to coarse-grained, locally very gravelly (pebbles less than 1.3 cm (0.5 in) in diameter) especially in updip areas, typically cross stratified, massive, horizontally bedded, light-gray to white, carbonized wood (several centimeters long) and colorless mica scattered throughout. Quartz is the major sand mineral. Siliceous rock fragments, mica, and feldspar are minor constituents. "
NJKmg;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Bed,locally very gravelly (pebbles less than 1.3 cm (0.5 in) in diameter) 
NJKmg;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"sand, quartz, fine- to coarse-grained, locally gravelly (especially at the base), white; weathers yellow brown or orange brown; muscovite and feldspar are minor sand constituents. "
NJKmg;1,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Bed,locally gravelly (especially at the base) 
NJYg;3,"Indeterminate, major",Metamorphic,Granoblastic,Granofels,,,Granofels,,range in composition from felsic to intermediate to mafic; intermediate compositions predominate 
NJKmg;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,interbedded with thin-bedded clay or dark-gray clay-silt mainly at the top of the formation; Large wood fragments occur in many clay layers. Clay weathers to gray brown or white. 
NJKmg;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,interbedded with thin-bedded clay or dark-gray clay-silt mainly at the top of the formation 
NJKml;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz, massive to crudely bedded, typically coarsens upward, interbedded with thin clay beds. Glauconite and feldspar are minor sand constituents. Muscovite and biotite are abundant near the base. Lower part of formation is a fine- to medium-grained, clayey, dark-gray, glauconitic (maximum 25 percent) quartz sand. Typically weathers to white or light yellow and locally stained orange brown by iron oxides.  "
NJKml;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"interbedded with thin clay beds; locally, has small, rounded siderite concretions in the interbedded clay-sand sequence "
NJKml;1,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Bed,Granules and gravel are abundant in the upper 1.5 m (5 ft). 
NJKmt;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz and glauconite, fine- to medium-grained, silty and clayey, massive, dark-gray; weathers light brown or pale red, extensively bioturbated. Very glauconitic in basal few meters; glauconite concentration decreases upward so that in upper part of unit, quartz and glauconite are nearly equal. Feldspar, mica, pyrite, and phosphatic fragments are minor sand constituents. Locally, very micaceous (mostly green chlorite) with sparse carbonized wood fragments. Fine-grained pyrite abundant throughout formation. Local thin, pebbly zones with large fossil impressions occur in the middle of the formation. In the upper part of the formation, quartz increases to about 40 percent.  "
NJKmt;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,silty and clayey 
NJKmt;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"silty and clayey; the basal few centimeters of the Marshalltown contain siderite concentrations, clay balls, and wood fragments reworked from the underlying Englishtown. "
NJKmv;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, glauconite, locally has high quartz content, very clayey and silty, massive to thick-bedded, grayish-olive-green to dark-greenish-gray; weathers moderate brown or moderate yellow brown. Mica, feldspar, and pyrite are minor sand constituents. Very micaceous at base. Locally, has extensive iron incrustations in near-surface weathered beds. Fossil molds are mostly phosphatic. Fossils typically occur in siderite concretions. No calcareous fossils were found in outcrop. "
NJKmv;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,very clayey and silty 
NJKmv;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,very clayey and silty 
NJKns;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, glauconite, medium-grained, clayey and silty, massive, dark-gray to dark-gray-green, extensively bioturbated, locally contains large calcareous shells; sand-size mica, locally abundant; weathers light brown or red brown. Basal quartz sand is fine- to coarse-grained, pebbly, massive, light-yellow, and somewhat glauconitic, as much as 2 m (7 ft) thick and formed by the reworking of the underlying Mount Laurel Formation (Owens and others, 1977). Exogyra costata and the belemnite Belemnitella americana occur in the basal quartz sand. "
NJKns;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,clayey and silty 
NJKns;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,clayey and silty 
NJOmb;8,Major,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,Bed, 
NJOmb;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
NJKp;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"Predominantly clay to clay-silt, thinly laminated to thick-bedded, mottled red, white, and orange-brown, less commonly dark-gray and woody; interbedded with thin beds and lenses of very fine to medium-grained, massive, white to orange-brown, micaceous sand "
NJOmr;8,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
NJOmr;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
NJOmr;8,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,Bed, 
NJKp;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,"Predominantly clay to clay-silt, thinly laminated to thick-bedded, mottled red, white, and orange-brown, less commonly dark-gray and woody; interbedded with thin beds and lenses of very fine to medium-grained, massive, white to orange-brown, micaceous sand "
NJTRs;5,Major,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed, 
NJKp;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"interbedded with white or variegated red and yellow, massive clay, and rarely dark-gray, woody clay "
NJKr;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"clay, silty, massive, dark-gray, shelly. Unit is generally restricted to the deep subsurface and only subcrops in the northern part of the central sheet;  "
NJKr;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,"clay, silty, massive, dark-gray, shelly. Unit is generally restricted to the deep subsurface and only subcrops in the northern part of the central sheet.  "
NJKr;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,quartz sand but has small amounts of glauconite sand 
NJKr;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"Woodbridge Clay Member - Silt, clayey, dark-gray; weathers to red brown or white, locally interbedded with light-gray, clayey, fine- to very fine grained sand. "
NJKr;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Woodbridge Clay Member - interbedded with light-gray, clayey, fine- to very fine grained sand (primarily quartz and mica with little feldspar). Very micaceous (muscovite, chlorite, and biotite) in both silty and sandy beds. Farrington Sand Member - sand, quartz, fine- to medium-grained, crossbedded, very micaceous, white, interbedded with thin to thick, dark, silt beds. Rock fragments are a minor sand constituent. "
NJKr;4,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,,"clayey-silt (Woodbridge Clay Member): palered-orange weathering, grayish-black to dark-gray micaceous silt, very clayey; interbedded  "
NJKr;4,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,,"clayey-silt (Woodbridge Clay Member): palered-orange weathering, grayish-black to dark-gray micaceous silt, very clayey; interbedded  "
NJTmq;1,Major,Unconsolidated,Marl,,,,Marl,Bed,"Locally, the glauconite content of this interval is variable, and the unit becomes almost a bluegreen clay-silt, especially near Pemberton, Burlington County (Owens and Minard, 1964a).  "
NJKr;4,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,,"Locally interbedded with light-gray, very clayey, fine- to very-fine-grained micaceous sand containing primarily quartz and feldspar. Lower sand (Farrington Sand Member): Farrington Sand Member is white, fine-to medium-grained, very micaceous, crossbedded sand, interbedded with thin to thick, darkgray, silty beds. "
NJKrbs;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz, fine- to coarse-grained, somewhat clayey and micaceous, mostly massive with local small-scale crossbedding, light-yellow to red or dark-brown, slightly glauconitic at the base. Feldspar is a minor sand constituent. The Shrewsbury is extensively burrowed but is otherwise unfossiliferous. Locally, small ""Callianassa""-type burrows are present. Maximum thickness is over 30 m (98 ft) in the highlands near Matawan.  "
NJKrbsh;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz, fine-grained, clayey, very micaceous, massive, dark-gray, fossiliferous. Feldspar, muscovite, chlorite, and biotite are minor sand constituents. "
NJKrbsh;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,clayey 
NJKt;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"sand, quartz and glauconite, siderite-cemented, indurated, reddish-brown to dark-gray "
NJKt;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz, and glauconite in varying proportions, very clayey and locally indurated by siderite into hard, massive ledges. Sand is dark gray to dark yellow where unweathered; where weathered, siderite changes color of unit to orange brown because of iron oxides, and the formation is stained or cemented in exotic patterns.  "
NJKt;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,very clayey 
NJKt;1,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Bed,"In these updip areas, fine gravel, 1 cm (0.4 in) maximum diameter, or large shell concentrations are found along the basal contact. The typical basal bed is a massive, glauconitic (10-35 percent), fine to medium-grained quartz sand with scattered gravel. The massive character of the basal bed is the result of extensive bioturbation.  "
NJKw;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, quartz and mica, fine-grained, silty and clayey, massive to thick-bedded, dark-gray to medium-gray; weathers light brown to white, extensively bioturbated, very micaceous, locally contains high concentrations of sand-sized lignitized wood and has large burrows of Ophiomorpha nodosa. Feldspar (5-10 percent) is a minor sand constituent.  "
NJKw;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,silty and clayey 
NJKw;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,silty and clayey 
NJKwb;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,,"lay-silt, dark-gray; weathers brown and orange pink. Iron oxides fill fractures or form layers in the most weathered beds. Unit is massive except at the base where thin quartz sand layers occur. Locally, thin stringers of pale-greenish-brown, smooth-surface glauconite occur near the top. Unit conspicuously micaceous throughout and contains finely dispersed pyrite, carbonaceous matter, and small pieces of carbonized wood as much as 30 cm (12 in) in length. Small siderite concretions are abundant in the Woodbury in the northern part of the outcrop belt.  "
NJOmb;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
NJOmb;8,Incidental,Sedimentary,Carbonate,Dolostone,,,Dolostone,Lense, 
NJKwb;1,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,,"lay-silt, dark-gray; weathers brown and orange pink. Iron oxides fill fractures or form layers in the most weathered beds. Unit is massive except at the base where thin quartz sand layers occur. Locally, thin stringers of pale-greenish-brown, smooth-surface glauconite occur near the top. Unit conspicuously micaceous throughout and contains finely dispersed pyrite, carbonaceous matter, and small pieces of carbonized wood as much as 30 cm (12 in) in length. Small siderite concretions are abundant in the Woodbury in the northern part of the outcrop belt.  "
NJObl;8,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"Very thin to thick-bedded, interbedded dolomite and minor limestone. Upper beds are light-olive-gray to dark-gray, fine- to medium-grained, thin- to thick-bedded dolomite. Middle part is olivegray-, light-brown-, or dark-yellowish-orange- weathering, dark-gray, aphanitic to fine-grained, laminated to medium-bedded dolomite. Lower beds consist of medium-light- to dark-gray, aphanitic to coarse-grained, laminated to medium-bedded, locally slightly fetid dolomite having thin black chert beds, quartz-sand laminae, and oolites.  "
NJObl;8,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Middle part is olivegray-, light-brown-, or dark-yellowish-orange- weathering, dark-gray, aphanitic to fine-grained, laminated to medium-bedded dolomite and light-gray to light-bluish-gray-weathering, medium-dark- to dark-gray, fine-grained, thin- to medium-bedded limestone. "
NJTRs;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,argillaceous siltstone 
NJObl;8,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed,"Very thin to thick-bedded, interbedded dolomite and minor limestone. Upper beds are light-olive-gray to dark-gray, fine- to medium-grained, thin- to thick-bedded dolomite. Middle part is olivegray-, light-brown-, or dark-yellowish-orange- weathering, dark-gray, aphanitic to fine-grained, laminated to medium-bedded dolomite. Lower beds consist of medium-light- to dark-gray, aphanitic to coarse-grained, laminated to medium-bedded, locally slightly fetid dolomite having thin black chert beds, quartz-sand laminae, and oolites.  "
NJOw;8,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed,"Lower part ranges from grayish-red, medium-gray, pale-brown, and greenish-gray to pale-green mudstone and siltstone containing disseminated subangular to subrounded chert-gravel, quartz-sand lenses, and chert-pebble conglomerate.  "
NJOw;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"Lower part ranges from grayish-red, medium-gray, pale-brown, and greenish-gray to pale-green mudstone and siltstone containing disseminated subangular to subrounded chert-gravel, quartz-sand lenses, and chert-pebble conglomerate.  "
NJObu;8,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"Locally preserved upper beds are light- to medium-gray- to yellowish-gray-weathering, medium-light- to medium-gray, aphanitic to medium-grained, thin- to thick-bedded, locally laminated, slightly fetid dolomite. Lower beds are medium-dark- to dark-gray, medium- to coarse-grained, mottled surface weathering, medium- to thick-bedded, strongly fetid dolomite. "
NJObu;8,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,"Medium-dark to dark-gray, fine-grained, medium-bedded, sparsely fossiliferous limestone lenses occur locally.  "
NJOCAa;6,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
NJOCAa;6,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,,orthoquartzite 
NJOCAa;6,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
NJYg;3,"Indeterminate, major",Metamorphic,Schist,,,,Schist,,graphitic schist 
