X(m),Observed,Calculated
0.0000,51538,51551
10.000,51541,51551
20.000,51545,51551
30.000,51542,51551
40.000,51542,51551
50.000,51541,51551
60.000,51538,51551
70.000,51541,51551
80.000,51541,51551
90.000,51543,51551
100.00,51544,51551
110.00,51545,51551
120.00,51545,51551
130.00,51545,51551
140.00,51543,51551
150.00,51542,51551
160.00,51540,51551
170.00,51542,51551
180.00,51545,51551
190.00,51562,51551
200.00,51540,51551
210.00,51545,51551
220.00,51546,51551
230.00,51548,51551
240.00,51547,51551
250.00,51544,51551
260.00,51542,51551
270.00,51548,51551
280.00,51548,51550
290.00,51546,51550
300.00,51551,51550
310.00,51558,51550
320.00,51535,51550
330.00,51545,51550
340.00,51549,51551
350.00,51558,51552
360.00,51568,51556
370.00,51589,51570
380.00,51620,51611
390.00,51661,51670
395.00,51674,51645
400.00,51625,51574
405.00,51548,51519
410.00,51525,51500
415.00,51525,51500
420.00,51529,51508
430.00,51535,51524
440.00,51540,51534
450.00,51543,51540